Depth,Ammonia Nitrogen (mg/L),Dissolved Oxygen (%saturation),Faecal Coliforms (cfu/100mL),Nitrate Nitrogen (mg/L),Nitrite Nitrogen (mg/L),Orthophosphate Phosphorus (mg/L),Temperature (°C),Suspended Solids (mg/L),Total Nitrogen (mg/L),Total Phosphorus (mg/L),Unionised Ammonia (mg/L),Volatile Suspended Solids (mg/L),Total Inorganic Nitrogen (mg/L),Total Kjeldahl Nitrogen (mg/L),Chlorophyll-a (μg/L),Dissolved Oxygen (mg/L),pH
Surface Water,0.069,107,650,0.32,0.03,0.006,27.4,4.4,0.6,0.05,0.006,1.7,0.42,0.25,16,7.3,8.2
Middle Water,0.089,100,420,0.24,0.028,0.003,26.6,4,0.6,0.05,0.006,1.3,0.36,0.33,12,6.9,8.1
Bottom Water,0.072,41,910,0.27,0.03,0.007,22.7,5,0.81,0.07,0.002,1.6,0.37,0.51,14,4.0,7.9
Surface Water,0.16,86,1500,0.28,0.081,0.045,28.6,1.9,1.04,0.09,0.008,1,0.52,0.68,9.4,5.7,7.9
Middle Water,0.14,79,910,0.25,0.072,0.037,27.9,1.6,1.08,0.04,0.005,0.8,0.46,0.76,7.3,5.3,7.8
Bottom Water,0.067,55,620,0.12,0.063,0.023,25.2,7.8,0.53,0.04,0.002,1.4,0.25,0.35,3,3.8,7.8
Surface Water,0.086,71,1100,0.079,0.013,0.014,28.9,11,0.77,0.08,0.004,2.2,0.18,0.68,0.5,4.6,7.9
Middle Water,0.092,81,630,0.074,0.014,0.015,28.9,13,0.34,0.07,0.004,1.7,0.18,0.25,0.9,5.2,7.9
Bottom Water,0.086,81,1200,0.066,0.014,0.016,29.0,17,0.31,0.06,0.004,2.2,0.17,0.23,0.6,5.2,7.9
Surface Water,0.11,79,230,0.088,0.017,0.02,29.1,2.7,1.21,0.07,0.006,<0.5,0.22,1.1,1.3,5.1,8.0
Middle Water,0.12,83,300,0.087,0.017,0.019,29.0,2.9,1.4,0.08,0.007,0.7,0.22,1.3,1.1,5.3,8.0
Bottom Water,0.11,83,800,0.079,0.016,0.021,28.9,3.1,1.3,0.08,0.006,0.7,0.21,1.2,0.8,5.3,8.0
Surface Water,0.028,81,90,0.086,0.026,0.017,24.4,1.4,0.46,0.03,<0.001,<0.5,0.14,0.35,2.1,5.6,7.8
Middle Water,0.027,91,70,0.084,0.026,0.015,24.4,3.7,0.43,0.05,<0.001,1.4,0.14,0.32,2,6.3,7.8
Bottom Water,0.027,92,100,0.084,0.026,0.017,24.3,2.7,0.7,0.05,<0.001,0.9,0.14,0.59,2.6,6.4,7.8
Surface Water,0.046,92,200,0.1,0.016,0.013,21.9,12,0.64,0.06,0.001,2.1,0.16,0.52,4.4,6.7,7.8
Middle Water,0.047,94,250,0.098,0.016,0.012,22.3,13,1.03,0.06,0.001,2,0.16,0.92,3.1,6.8,7.8
Bottom Water,0.05,100,290,0.1,0.016,0.012,22.3,13,0.94,0.05,0.001,2.2,0.17,0.82,1.7,7.2,7.8
Surface Water,0.1,67,100,0.034,0.007,0.011,19.8,1.3,0.37,0.05,0.002,<0.5,0.14,0.33,1.2,5.0,7.8
Middle Water,0.094,68,160,0.032,0.008,0.011,19.9,8.1,0.36,0.17,0.002,1.6,0.13,0.32,0.3,5.1,7.8
Bottom Water,0.094,74,120,0.029,0.007,0.011,19.8,1.1,1.44,0.1,0.002,<0.5,0.13,1.4,0.9,5.6,7.8
Surface Water,0.093,65,150,0.034,0.008,0.01,20.1,1,0.81,0.06,0.002,0.6,0.14,0.77,0.3,4.9,7.7
Middle Water,0.096,69,180,0.033,0.009,0.013,20.2,2.4,0.64,0.07,0.002,0.6,0.14,0.6,0.6,5.1,7.7
Bottom Water,0.093,68,150,0.031,0.009,0.013,20.2,2.5,0.73,0.05,0.002,<0.5,0.13,0.69,0.7,5.1,7.7
Surface Water,0.084,68,20,0.05,0.005,0.017,23.5,2.2,0.98,0.05,0.001,<0.5,0.14,0.92,1.9,4.7,7.5
Middle Water,0.081,65,100,0.05,0.004,0.017,23.5,2.5,1.0,0.06,0.001,0.5,0.14,0.95,1.9,4.6,7.5
Bottom Water,0.078,69,90,0.059,0.006,0.019,23.4,4.2,1.07,0.06,0.001,0.8,0.14,1,2.9,4.8,7.5
Surface Water,0.1,66,380,0.061,0.009,0.016,24.5,1.6,0.77,0.04,0.001,1.5,0.17,0.7,2,4.6,7.4
Middle Water,0.1,62,160,0.054,0.008,0.016,24.4,2.8,0.84,0.04,0.001,0.6,0.16,0.78,0.9,4.3,7.4
Bottom Water,0.07,67,120,0.035,0.007,0.019,24.2,2.2,0.32,0.06,<0.001,<0.5,0.11,0.28,1,4.7,7.4
Surface Water,0.12,84,280,0.12,0.046,0.017,25.3,2.6,0.6,0.07,0.002,0.6,0.29,0.43,3.8,5.7,7.5
Middle Water,0.11,78,390,0.08,0.044,0.005,25.2,2.2,0.39,0.08,0.002,0.7,0.23,0.27,3.5,5.3,7.5
Bottom Water,0.12,85,390,0.086,0.045,0.006,25.2,4.6,0.62,0.07,0.002,0.9,0.25,0.49,3.6,5.8,7.6
Surface Water,0.056,82,410,0.069,0.028,0.02,20.4,11,0.64,0.03,<0.001,1.6,0.15,0.54,<0.2,6.1,7.5
Middle Water,0.05,84,380,0.067,0.028,0.018,20.5,4.1,0.34,0.04,<0.001,0.7,0.15,0.24,0.6,6.2,7.5
Bottom Water,0.048,85,390,0.069,0.029,0.019,20.5,3.1,0.69,0.05,<0.001,<0.5,0.15,0.59,0.5,6.3,7.5
Surface Water,0.079,90,550,0.07,0.032,0.019,20.1,6.3,0.7,0.04,<0.001,1,0.18,0.6,1.1,6.7,7.5
Middle Water,0.079,75,310,0.069,0.028,0.019,20.0,3.9,0.61,0.04,<0.001,0.5,0.18,0.51,0.8,5.6,7.5
Bottom Water,0.08,85,610,0.076,0.029,0.02,20.0,6,0.81,0.05,<0.001,1.1,0.19,0.7,0.7,6.3,7.5
Surface Water,0.047,80,250,0.065,0.013,0.016,17.3,3.4,0.81,0.03,<0.001,0.9,0.13,0.73,0.5,6.3,7.3
Middle Water,0.056,88,170,0.073,0.013,0.018,17.7,6.5,0.64,0.03,<0.001,1.6,0.14,0.55,0.4,6.9,7.3
Bottom Water,0.049,88,250,0.069,0.013,0.017,17.7,4.9,0.76,0.03,<0.001,1.2,0.13,0.68,0.3,6.9,7.4
